Date,Hour,Minute,Reserve,Scope,Magnitude,Shortfall,Price,DA Magnitude,DA Shortfall,DA Price
2020-01-01,0,0,reserve,system,328.953016,0.0,0.0,333.733188,0.0,0.0
2020-01-01,0,0,regulation_up,system,49.0,0.0,0.0,55.0,0.0,0.0
2020-01-01,0,0,regulation_down,system,48.0,0.0,18.573789,54.0,0.0,18.573789
2020-01-01,0,0,spinning_reserve,area 1,27.249,0.0,0.0,29.551,0.0,0.0
2020-01-01,0,0,spinning_reserve,area 2,33.192,0.0,0.0,33.08,0.0,0.0
2020-01-01,0,0,spinning_reserve,area 3,38.244,0.0,0.0,37.489,0.0,-0.0
2020-01-01,0,0,flexible_ramp_up,system,,,,73.0,0.0,0.0
2020-01-01,0,0,flexible_ramp_down,system,,,,61.0,0.0,18.072542
2020-01-01,1,0,reserve,system,319.785986,0.0,0.0,326.104582,0.0,0.0
2020-01-01,1,0,regulation_up,system,49.0,0.0,0.0,50.0,0.0,0.0
2020-01-01,1,0,regulation_down,system,47.0,0.0,18.573789,48.0,0.0,18.573789
2020-01-01,1,0,spinning_reserve,area 1,27.093,0.0,0.0,29.572,0.0,0.0
2020-01-01,1,0,spinning_reserve,area 2,32.346,0.0,0.0,32.488,0.0,-0.0
2020-01-01,1,0,spinning_reserve,area 3,36.498,0.0,0.0,35.772,0.0,-0.0
2020-01-01,1,0,flexible_ramp_up,system,,,,60.0,0.0,-0.0
2020-01-01,1,0,flexible_ramp_down,system,,,,46.0,0.0,18.072542
2020-01-01,2,0,reserve,system,315.870306,0.0,0.0,324.717265,0.0,0.0
2020-01-01,2,0,regulation_up,system,48.0,0.0,0.0,55.0,0.0,0.0
2020-01-01,2,0,regulation_down,system,47.0,0.0,18.573789,54.0,0.0,18.573789
2020-01-01,2,0,spinning_reserve,area 1,27.315,0.0,0.0,30.048,0.0,0.0
2020-01-01,2,0,spinning_reserve,area 2,32.253,0.0,0.0,32.394,0.0,-0.0
2020-01-01,2,0,spinning_reserve,area 3,35.193,0.0,0.0,34.974,0.0,-0.0
2020-01-01,2,0,flexible_ramp_up,system,,,,74.0,0.0,0.0
2020-01-01,2,0,flexible_ramp_down,system,,,,63.0,0.0,18.072542
2020-01-01,3,0,reserve,system,314.783741,0.0,0.0,326.459832,0.0,0.0
2020-01-01,3,0,regulation_up,system,49.0,0.0,0.0,57.0,0.0,0.0
2020-01-01,3,0,regulation_down,system,47.0,0.0,18.573789,56.0,0.0,18.573789
2020-01-01,3,0,spinning_reserve,area 1,27.957,0.0,0.0,31.084,0.0,0.0
2020-01-01,3,0,spinning_reserve,area 2,32.064,0.0,0.0,32.354,0.0,-0.0
2020-01-01,3,0,spinning_reserve,area 3,34.413,0.0,0.0,34.5,0.0,-0.0
2020-01-01,3,0,flexible_ramp_up,system,,,,79.0,0.0,0.0
2020-01-01,3,0,flexible_ramp_down,system,,,,69.0,0.0,18.072542
2020-01-01,4,0,reserve,system,321.720418,0.0,0.0,340.285843,0.0,0.0
2020-01-01,4,0,regulation_up,system,49.0,0.0,0.0,59.0,0.0,0.0
2020-01-01,4,0,regulation_down,system,47.0,0.0,18.573789,59.0,0.0,18.861019
2020-01-01,4,0,spinning_reserve,area 1,29.865,0.0,0.0,34.194,0.0,0.0
2020-01-01,4,0,spinning_reserve,area 2,32.535,0.0,0.0,32.973,0.0,0.0
2020-01-01,4,0,spinning_reserve,area 3,34.116,0.0,0.0,34.919,0.0,-0.0
2020-01-01,4,0,flexible_ramp_up,system,,,,83.0,0.0,0.0
2020-01-01,4,0,flexible_ramp_down,system,,,,74.0,0.0,18.463561
2020-01-01,5,0,reserve,system,341.053643,0.0,0.0,367.221111,0.0,0.0
2020-01-01,5,0,regulation_up,system,50.0,0.0,0.0,62.0,0.0,0.0
2020-01-01,5,0,regulation_down,system,48.0,0.0,18.573789,62.0,0.0,0.0
2020-01-01,5,0,spinning_reserve,area 1,33.933,0.0,0.0,38.604,0.0,0.0
